# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369172332166e-10       4.143184619602e-15       3.532187908546e-13       2.237801120177e-19       8.178325707325e-09       4.433780829034e-10      -1.839463856852e-12 
    3       1.297226309078e-10       5.312311819790e-15       3.960708155768e-13       4.476531010453e-19       5.036103099732e-09       3.147287579908e-10      -1.394505449179e-12 
    4       1.228923323965e-10       4.599801812016e-15       3.701952650907e-13       7.462930316078e-19       3.505128002328e-09       2.381621848640e-10      -9.139320402039e-13 
    5       1.177858880521e-10       3.072494177587e-15       3.151493262790e-13       1.119818607387e-18       2.616025681565e-09       1.879798248381e-10      -5.092377821725e-13 
    6       1.142938793175e-10       1.719549682709e-15       2.536723637333e-13       1.568373916415e-18       2.042566913926e-09       1.528461430217e-10      -2.108566792344e-13 
    7       1.120231161711e-10       9.289189759499e-16       1.990521019628e-13       2.092125762862e-18       1.646525769216e-09       1.270549948524e-10      -2.031641730804e-14 
    8       1.107130290188e-10       5.983769815060e-16       1.570895221819e-13       2.691260649049e-18       1.358917999762e-09       1.075164647616e-10       7.715587984923e-14 
    9       1.101336077491e-10       4.802095091022e-16       1.290407231812e-13       3.365981496950e-18       1.142379591183e-09       9.240832845049e-11       1.047330225627e-13 
   10       1.100330965121e-10       4.103640386777e-16       1.135649900543e-13       4.116504204757e-18       9.751379945595e-10       8.047734576251e-11       8.816122813002e-14 
   11       1.103787426321e-10       3.466726201529e-16       1.079908190157e-13       4.943054137036e-18       8.229943899443e-10       7.117390130643e-11       5.151926546611e-14 
   12       1.110085340027e-10       3.039679049695e-16       1.092262583252e-13       5.845862646502e-18       7.187371561822e-10       6.291653144587e-11       1.223093235231e-14 
   13       1.118646069687e-10       2.930664700970e-16       1.145922341584e-13       6.825163721609e-18       6.331896772190e-10       5.623091489160e-11      -1.768746263143e-14 
   14       1.129417332479e-10       3.062516344409e-16       1.220948469308e-13       7.881190847076e-18       5.620499754754e-10       5.046710373429e-11      -3.396871816018e-14 
   15       1.141908763490e-10       3.321024810598e-16       1.303684099270e-13       9.014174154498e-18       5.021947202102e-10       4.558817497171e-11      -3.690877593412e-14 
   16       1.155371515806e-10       3.683162107615e-16       1.387935302453e-13       1.022433792772e-17       4.513252290944e-10       4.136956229942e-11      -3.035330976181e-14 
   17       1.170155770214e-10       4.202217669336e-16       1.472518658518e-13       1.151189851311e-17       4.077058103375e-10       3.768143063177e-11      -1.943317133403e-14 
   18       1.185726905744e-10       4.930462358163e-16       1.558578839491e-13       1.287706249303e-17       3.698620138606e-10       3.448538214029e-11      -8.992419698760e-15 
   19       1.202221483676e-10       5.871228118480e-16       1.648095650642e-13       1.432002637124e-17       3.371879328191e-10       3.172833421129e-11      -1.631311901066e-15 
   20       1.219543923092e-10       7.005317207396e-16       1.742930059258e-13       1.584097388276e-17       3.084210230602e-10       2.927449280699e-11       9.258869522862e-16 
   21       1.237617886389e-10       8.326857979786e-16       1.842921068139e-13       1.744007842400e-17       2.831067274331e-10       2.707551960585e-11      -7.615411821938e-16 
   22       1.256089476028e-10       9.831294307224e-16       1.946397011850e-13       1.911750010308e-17       2.606365417028e-10       2.508181094290e-11      -4.950013253562e-15 
   23       1.275102877121e-10       1.151985161701e-15       2.049723932430e-13       2.087338955547e-17       2.406998069742e-10       2.329823039935e-11      -9.886149775326e-15 
   24       1.294727502533e-10       1.339438947423e-15       2.148263118967e-13       2.270788494291e-17       2.228340144827e-10       2.172029207632e-11      -1.370495393181e-14 
   25       1.314879198912e-10       1.545923544035e-15       2.239293407868e-13       2.462111739205e-17       2.068277555279e-10       2.030864496288e-11      -1.560847395682e-14 
   26       1.335298870158e-10       1.772096674926e-15       2.320758361705e-13       2.661320737740e-17       1.923900145452e-10       1.900361965017e-11      -1.530502520076e-14 
   27       1.356059040135e-10       2.019641985167e-15       2.391825672573e-13       2.868426993794e-17       1.793466960166e-10       1.780622100092e-11      -1.340923590440e-14 
   28       1.377231713823e-10       2.290579963947e-15       2.452277983099e-13       3.083441220447e-17       1.674720604625e-10       1.672634102387e-11      -1.090497957007e-14 
   29       1.398886163971e-10       2.586368825253e-15       2.502511757193e-13       3.306374186759e-17       1.567049602882e-10       1.575840658231e-11      -8.415879198399e-15 
   30       1.420959547521e-10       2.908315945810e-15       2.543414195735e-13       3.537236012563e-17       1.469292600737e-10       1.488036330207e-11      -6.562798622073e-15 
   31       1.443285185363e-10       3.257671072581e-15       2.575942484808e-13       3.776036164918e-17       1.379449006154e-10       1.406226849163e-11      -5.922474654167e-15 
   32       1.465907701560e-10       3.635354014912e-15       2.599785031815e-13       4.022784519988e-17       1.297051330685e-10       1.330000133552e-11      -6.347500420872e-15 
   33       1.488859939192e-10       4.042111486457e-15       2.614197666037e-13       4.277490679776e-17       1.221513598589e-10       1.259266869773e-11      -7.379926551087e-15 
   34       1.512099959296e-10       4.478647988900e-15       2.618253495955e-13       4.540163842534e-17       1.151774667362e-10       1.193555154150e-11      -8.498023705401e-15 
   35       1.535620746491e-10       4.945870206321e-15       2.610544460810e-13       4.810813318723e-17       1.087475070651e-10       1.132813911850e-11      -9.403548725264e-15 
   36       1.559360873970e-10       5.444720506459e-15       2.589348004472e-13       5.089448207616e-17       1.028096365254e-10       1.076809642037e-11      -9.825941497904e-15 
   37       1.583222084148e-10       5.976086344214e-15       2.553068879060e-13       5.376077216243e-17       9.728627807247e-11       1.025032250415e-11      -9.539746629231e-15 
   38       1.607262257297e-10       6.540719487495e-15       2.501548058396e-13       5.670708467460e-17       9.216303141494e-11       9.772407664055e-12      -8.695179664100e-15 
   39       1.631554985748e-10       7.139283332878e-15       2.435191323420e-13       5.973349641360e-17       8.742354148354e-11       9.330425397249e-12      -7.600319044622e-15 
   40       1.656131592335e-10       7.772368546256e-15       2.354637015270e-13       6.284008034262e-17       8.302245930132e-11       8.917114453414e-12      -6.638904118617e-15 
   41       1.680992257737e-10       8.440528862265e-15       2.260507490754e-13       6.602690276322e-17       7.890121407211e-11       8.524269510285e-12      -6.169707533385e-15 
   42       1.706155652321e-10       9.144413739437e-15       2.152532169776e-13       6.929401359839e-17       7.504758229403e-11       8.151518924161e-12      -6.173495644177e-15 
   43       1.731617133829e-10       9.884671018305e-15       2.030162822850e-13       7.264145304410e-17       7.145125489950e-11       7.799935505028e-12      -6.499375400887e-15 
   44       1.757330294739e-10       1.066190831419e-14       1.892807783177e-13       7.606925404069e-17       6.808596352414e-11       7.469520503321e-12      -6.958075074556e-15 
   45       1.783233738065e-10       1.147669088597e-14       1.739890705406e-13       7.957743863507e-17       6.491884411388e-11       7.159489927820e-12      -7.363928699498e-15 
   46       1.809350015390e-10       1.232953895566e-14       1.571057062084e-13       8.316600610613e-17       6.194485865540e-11       6.869459681960e-12      -7.681376670256e-15 
   47       1.835709723933e-10       1.322092635863e-14       1.386022688300e-13       8.683494104697e-17       5.916050388977e-11       6.598452964132e-12      -7.918235441671e-15 
   48       1.862321422785e-10       1.415127884519e-14       1.184516131886e-13       9.058421621721e-17       5.655343059832e-11       6.344478369753e-12      -8.085329414229e-15 
   49       1.889169549743e-10       1.512097216899e-14       9.662783292291e-14       9.441379219921e-17       5.410178601591e-11       6.104456755525e-12      -8.196677488172e-15 
   50       1.916229982076e-10       1.613029981120e-14       7.310452371026e-14       9.832361708207e-17       5.178078629459e-11       5.875113638831e-12      -8.269698889122e-15 
   51       1.943526531209e-10       1.717937025966e-14       4.784909224624e-14       1.023136262099e-16       4.958606268369e-11       5.656111638657e-12      -8.325463703581e-15 
   52       1.971086182008e-10       1.826817854302e-14       2.082684646400e-14       1.063837417710e-16       4.751551572752e-11       5.447641880738e-12      -8.388832818688e-15 
   53       1.998921565977e-10       1.939663089687e-14      -7.997545035036e-15       1.105338724298e-16       4.556232925819e-11       5.249505734596e-12      -8.488627608094e-15 
   54       2.027029708404e-10       2.056454142319e-14      -3.866016560697e-14       1.147639129846e-16       4.371465304655e-11       5.061087114746e-12      -8.657817392976e-15 
   55       2.055400961939e-10       2.177170192381e-14      -7.119118754181e-14       1.190737522256e-16       4.195921207518e-11       4.881610542693e-12      -8.923034312212e-15 
   56       2.084051276410e-10       2.301811936865e-14      -1.055926866429e-13       1.234632995822e-16       4.029391134517e-11       4.711053860895e-12      -9.269638257193e-15 
   57       2.112995751037e-10       2.430383156857e-14      -1.418555135858e-13       1.279324644957e-16       3.871780651222e-11       4.549413739935e-12      -9.668301669511e-15 
   58       2.142238312985e-10       2.562883869108e-14      -1.799654386317e-13       1.324811487756e-16       3.722729082412e-11       4.396423578402e-12      -1.008469837991e-14 
   59       2.171770861374e-10       2.699310277084e-14      -2.199030002673e-13       1.371092465773e-16       3.581593075701e-11       4.251536937642e-12      -1.047927525408e-14 
   60       2.201572411296e-10       2.839654722006e-14      -2.616433538436e-13       1.418166443788e-16       3.447430165166e-11       4.113910976500e-12      -1.080702383842e-14 
   61       2.231620205625e-10       2.983897264845e-14      -3.051612946581e-13       1.466032360697e-16       3.319260156488e-11       3.982641826592e-12      -1.102791298260e-14 
   62       2.261927901543e-10       3.131978335045e-14      -3.504479871505e-13       1.514689722297e-16       3.196955026357e-11       3.857569931394e-12      -1.114143973741e-14 
   63       2.292514475435e-10       3.283819827701e-14      -3.974977392514e-13       1.564138219206e-16       3.080520512952e-11       3.738626901484e-12      -1.115946385250e-14 
   64       2.323392544611e-10       3.439332622599e-14      -4.463031718596e-13       1.614377589981e-16       2.969828450157e-11       3.625591123643e-12      -1.109633887731e-14 
   65       2.354567891051e-10       3.598416269720e-14      -4.968552316628e-13       1.665407625684e-16       2.864609146256e-11       3.518079189475e-12      -1.096902207159e-14 
   66       2.386038985140e-10       3.760958674736e-14      -5.491432039579e-13       1.717228174443e-16       2.764443762621e-11       3.415537324043e-12      -1.079718431589e-14 
   67       2.417796509420e-10       3.926835784520e-14      -6.031547254717e-13       1.769839146025e-16       2.668756692408e-11       3.317232814490e-12      -1.060332002214e-14 
   68       2.449830268991e-10       4.095923573989e-14      -6.588750265552e-13       1.823240595244e-16       2.576969120249e-11       3.222446373076e-12      -1.040834789322e-14 
   69       2.482152613313e-10       4.268137530114e-14      -7.162844508005e-13       1.877432981642e-16       2.489012868908e-11       3.131113647708e-12      -1.021713240423e-14 
   70       2.514778926513e-10       4.443400640189e-14      -7.753604535552e-13       1.932416970870e-16       2.404907458624e-11       3.043298897587e-12      -1.003021256081e-14 
   71       2.547720378442e-10       4.621631798477e-14      -8.360783213149e-13       1.988193366960e-16       2.324604702198e-11       2.959002189143e-12      -9.848046159009e-15 
   72       2.580983637329e-10       4.802745806324e-14      -8.984111648342e-13       2.044763118906e-16       2.247985205959e-11       2.878155963648e-12      -9.671004372220e-15 
   73       2.614570582441e-10       4.986653372267e-14      -9.623299122389e-13       2.102127327249e-16       2.174854870734e-11       2.800621604830e-12      -9.499366338151e-15 
   74       2.648478016746e-10       5.173261112154e-14      -1.027803302137e-12       2.160287250656e-16       2.104941392811e-11       2.726186006489e-12      -9.333313745787e-15 
   75       2.682697379565e-10       5.362471549257e-14      -1.094797876730e-12       2.219244312502e-16       2.037890764912e-11       2.654558140114e-12      -9.172925422351e-15 
   76       2.717219772558e-10       5.554177845468e-14      -1.163278040765e-12       2.279000036037e-16       1.973355063306e-11       2.585446630905e-12      -9.018348734036e-15 
   77       2.752052730937e-10       5.748246885437e-14      -1.233206266028e-12       2.339555821667e-16       1.911282025367e-11       2.518816405019e-12      -8.870361838231e-15 
   78       2.787206002734e-10       5.944533093619e-14      -1.304542911798e-12       2.400913140826e-16       1.851672166182e-11       2.454672824672e-12      -8.729904602653e-15 
   79       2.822686331287e-10       6.142883323355e-14      -1.377246156868e-12       2.463073608831e-16       1.794490576205e-11       2.392983089037e-12      -8.597909128954e-15 
   80       2.858497276859e-10       6.343136748939e-14      -1.451271994005e-12       2.526038989996e-16       1.739665294123e-11       2.333674462997e-12      -8.475297965388e-15 
   81       2.894639038246e-10       6.545124757688e-14      -1.526574224412e-12       2.589811202753e-16       1.687085679718e-11       2.276632505905e-12      -8.362982319484e-15 
   82       2.931108274390e-10       6.748670842018e-14      -1.603104452191e-12       2.654392324766e-16       1.636600786730e-11       2.221699300343e-12      -8.261860270720e-15 
   83       2.967897925996e-10       6.953590491508e-14      -1.680812078802e-12       2.719784598055e-16       1.588017735726e-11       2.168671680878e-12      -8.172814983188e-15 
   84       3.005000619327e-10       7.159697824352e-14      -1.759645239680e-12       2.785990399364e-16       1.541148540595e-11       2.117351120695e-12      -8.096363159890e-15 
   85       3.042419916699e-10       7.366826981259e-14      -1.839553804622e-12       2.853012134432e-16       1.495963071586e-11       2.067706773569e-12      -8.031537359624e-15 
   86       3.080160612691e-10       7.574814096814e-14      -1.920486866953e-12       2.920852335499e-16       1.452458584932e-11       2.019736338986e-12      -7.976814253435e-15 
   87       3.118225201341e-10       7.783490880697e-14      -2.002391855751e-12       2.989513698959e-16       1.410612723025e-11       1.973415917714e-12      -7.930440356131e-15 
   88       3.156613757969e-10       7.992684623021e-14      -2.085214546136e-12       3.058999089890e-16       1.370382701625e-11       1.928699108761e-12      -7.890424360658e-15 
   89       3.195323820989e-10       8.202218199672e-14      -2.168899069567e-12       3.129311546591e-16       1.331704497070e-11       1.885516106334e-12      -7.854529472485e-15 
   90       3.234350273732e-10       8.411910077639e-14      -2.253387924141e-12       3.200454285115e-16       1.294492033491e-11       1.843772796795e-12      -7.820265743978e-15 
   91       3.273685226259e-10       8.621574320362e-14      -2.338621984888e-12       3.272430703801e-16       1.258636370018e-11       1.803349855619e-12      -7.784882408782e-15 
   92       3.313317897182e-10       8.831020593060e-14      -2.424540514065e-12       3.345244387814e-16       1.224004887995e-11       1.764101844352e-12      -7.745360216198e-15 
   93       3.353237973787e-10       9.040056994238e-14      -2.511081666507e-12       3.418899188668e-16       1.190472728301e-11       1.725893832527e-12      -7.699088725016e-15 
   94       3.393446527199e-10       9.248499025742e-14      -2.598184070251e-12       3.493399466673e-16       1.158024277314e-11       1.688719525405e-12      -7.646031358745e-15 
   95       3.433946527989e-10       9.456161987941e-14      -2.685785503780e-12       3.568749893506e-16       1.126665512697e-11       1.652599315687e-12      -7.586873317025e-15 
   96       3.474739444649e-10       9.662858317319e-14      -2.773822439016e-12       3.644955385951e-16       1.096392748160e-11       1.617543958834e-12      -7.522367343387e-15 
   97       3.515825173155e-10       9.868397630600e-14      -2.862230058409e-12       3.722021111465e-16       1.067192263361e-11       1.583554185125e-12      -7.453335461955e-15 
