# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.369834013511e-10       4.142964529064e-15       3.534965690195e-13       0.000000000000e+00       8.178616065870e-09       4.432878091482e-10      -1.839476563975e-12 
    3       1.297850190110e-10       5.311875293268e-15       3.963672329708e-13       0.000000000000e+00       5.036200983651e-09       3.146765889853e-10      -1.394521810635e-12 
    4       1.229485151835e-10       4.599061572256e-15       3.704597107101e-13       0.000000000000e+00       3.505192567291e-09       2.381274905623e-10      -9.139546662653e-13 
    5       1.178357407625e-10       3.071370208318e-15       3.153605035282e-13       0.000000000000e+00       2.616080548433e-09       1.879547325459e-10      -5.092554179736e-13 
    6       1.143372732479e-10       1.717964639461e-15       2.538237523548e-13       0.000000000000e+00       2.042615360861e-09       1.528269037080e-10      -2.108756369525e-13 
    7       1.120604954186e-10       9.267917690422e-16       1.991501841504e-13       0.000000000000e+00       1.646571124133e-09       1.270394841187e-10      -2.033784198407e-14 
    8       1.107449291855e-10       5.956295609166e-16       1.571471734067e-13       0.000000000000e+00       1.358964696507e-09       1.075036532564e-10       7.713111439053e-14 
    9       1.101601564535e-10       4.767741484936e-16       1.290726131544e-13       0.000000000000e+00       1.142424394315e-09       9.239761139372e-11       1.047046914442e-13 
   10       1.100542383224e-10       4.061835155993e-16       1.135841251148e-13       0.000000000000e+00       9.751763901777e-10       8.046822704093e-11       8.812997851250e-14 
   11       1.103946940980e-10       3.416913006111e-16       1.080070380557e-13       0.000000000000e+00       8.230220425684e-10       7.116590146441e-11       5.148704480173e-14 
   12       1.110196106877e-10       2.981204976784e-16       1.092458034259e-13       0.000000000000e+00       7.187626046304e-10       6.290905065721e-11       1.219900560508e-14 
   13       1.118708222069e-10       2.862735550464e-16       1.146181565306e-13       0.000000000000e+00       6.332132078873e-10       5.622401055939e-11      -1.771675804321e-14 
