# Matter power spectrum P(k) at redshift z=0
# for k=1.04953e-05 to 1.70195 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049530776193e-05       4.754185600994e+01 
       2.341986063795e-05       1.031644297769e+02 
       3.639019968024e-05       1.578559678655e+02 
       4.944145998456e-05       2.121901172311e+02 
       6.260936192774e-05       2.664958430388e+02 
       7.593053182789e-05       3.210218638487e+02 
       8.944283292738e-05       3.759822213899e+02 
       1.031857111283e-04       4.315749228908e+02 
       1.172005599436e-04       4.879916312171e+02 
       1.315311091606e-04       5.454238966595e+02 
       1.462238417190e-04       6.040668442226e+02 
       1.484340210776e-04       6.128687897507e+02 
       1.613284432414e-04       6.641229681229e+02 
       1.632774231854e-04       6.718561996486e+02 
       1.768982884646e-04       7.258040705089e+02 
       1.796051655039e-04       7.365055712412e+02 
       1.929909684339e-04       7.893347365719e+02 
       1.959329078225e-04       8.009257490507e+02 
       2.096688616300e-04       8.549542864632e+02 
       2.152293305626e-04       8.767844404890e+02 
       2.269997510726e-04       9.229192930479e+02 
       2.360100935134e-04       9.581684406620e+02 
       2.450574877021e-04       9.935061272558e+02 
       2.597595368859e-04       1.050811718331e+03 
       2.639226977529e-04       1.067013125297e+03 
       2.836835281216e-04       1.143764135469e+03 
       2.849933204691e-04       1.148842634903e+03 
       3.044364185456e-04       1.224109176507e+03 
       3.131957844738e-04       1.257944372534e+03 
       3.262868823593e-04       1.308428833548e+03 
       3.443669289001e-04       1.377993084254e+03 
       3.493502682625e-04       1.397134898848e+03 
       3.737524635343e-04       1.490672032710e+03 
       3.770224135372e-04       1.503181742186e+03 
       3.996304842100e-04       1.589520274528e+03 
       4.141309188066e-04       1.644756583496e+03 
       4.271328799507e-04       1.694193718039e+03 
       4.556924447083e-04       1.802486691401e+03 
       4.564198612842e-04       1.805239845956e+03 
       4.876630360502e-04       1.923237209556e+03 
       5.002226510316e-04       1.970538261139e+03 
       5.210446229980e-04       2.048789551647e+03 
       5.477215377765e-04       2.148744087774e+03 
       5.567559979518e-04       2.182518861926e+03 
       5.949954279804e-04       2.325054255048e+03 
       6.026421255752e-04       2.353475528064e+03 
       6.359648693287e-04       2.477016602886e+03 
       6.605313937955e-04       2.567769708565e+03 
       6.798657536498e-04       2.639001456402e+03 
       7.258423630696e-04       2.807711292827e+03 
       7.268937706654e-04       2.811558288429e+03 
       7.772327749289e-04       2.995164054193e+03 
       7.970906931869e-04       3.067282061034e+03 
       8.310480918802e-04       3.190198834582e+03 
       8.742763841472e-04       3.345933186099e+03 
       8.884796537784e-04       3.396921561540e+03 
       9.496355274408e-04       3.615444880053e+03 
       9.603681163723e-04       3.653623775014e+03 
       1.014586464742e-03       3.845720231484e+03 
       1.053881549651e-03       3.984133044062e+03 
       1.083362080063e-03       4.087528884875e+03 
       1.155949121412e-03       4.340477222497e+03 
       1.157785364406e-03       4.346846190608e+03 
       1.232292067763e-03       4.604010409711e+03 
       1.270595220425e-03       4.735264338698e+03 
       1.312295998029e-03       4.877427267652e+03 
       1.395279798130e-03       5.158027755522e+03 
       1.395831398573e-03       5.159882693687e+03 
       1.482740366002e-03       5.450472145141e+03 
       1.528870417100e-03       5.603364619150e+03 
       1.572843558453e-03       5.748239516363e+03 
       1.665947258382e-03       6.052186929592e+03 
       1.677304438177e-03       6.089004289076e+03 
       1.761850011057e-03       6.361316206227e+03 
       1.840581861363e-03       6.612109246999e+03 
       1.860348457188e-03       6.674651817650e+03 
       1.961242144836e-03       6.991261687532e+03 
       2.033546088764e-03       7.215465808525e+03 
       2.064337254109e-03       7.310267016130e+03 
       2.169449280505e-03       7.630852123322e+03 
       2.226510316164e-03       7.802928375265e+03 
       2.276404794805e-03       7.952271705550e+03 
       2.385042433191e-03       8.273848503964e+03 
       2.449161347781e-03       8.461350584490e+03 
       2.495213279584e-03       8.594975428283e+03 
       2.606780792348e-03       8.915109641169e+03 
       2.686655781505e-03       9.141207271969e+03 
       2.719620407785e-03       9.233770880878e+03 
       2.833618929250e-03       9.550536872381e+03 
       2.938993617337e-03       9.838775930221e+03 
       2.948673787231e-03       9.865036303485e+03 
       3.064692234613e-03       1.017694597895e+04 
       3.181590523541e-03       1.048598697734e+04 
       3.235861659492e-03       1.062769503233e+04 
       3.299293095958e-03       1.079191451317e+04 
       3.417731808863e-03       1.109452092031e+04 
       3.536845207066e-03       1.139362911430e+04 
       3.547573103755e-03       1.142031388252e+04 
       3.656577850220e-03       1.168908572336e+04 
       3.776879696703e-03       1.198076524964e+04 
       3.888971352234e-03       1.224792745859e+04 
       3.897705544111e-03       1.226855955587e+04 
       4.019014524234e-03       1.255237920749e+04 
       4.140769649322e-03       1.283215600793e+04 
       4.262937405815e-03       1.310782812130e+04 
       4.274899807036e-03       1.313455313278e+04 
       4.385487391487e-03       1.337935658796e+04 
       4.508391991933e-03       1.364670379364e+04 
       4.631626092466e-03       1.390984729486e+04 
       4.690515066053e-03       1.403387572341e+04 
       4.755166821733e-03       1.416877395408e+04 
       4.878993323606e-03       1.442347360991e+04 
       5.003086554255e-03       1.467394983054e+04 
       5.127429101540e-03       1.492020106601e+04 
       5.150660531394e-03       1.496568556786e+04 
       5.252005024217e-03       1.516224241081e+04 
       5.376799708674e-03       1.540008511662e+04 
       5.501799741182e-03       1.563374598728e+04 
       5.626992793896e-03       1.586325297157e+04 
       5.655336203058e-03       1.591459066264e+04 
       5.752367523000e-03       1.608862216823e+04 
       5.877913477624e-03       1.630988423436e+04 
       6.003621018294e-03       1.652706982711e+04 
       6.129481243832e-03       1.674020806385e+04 
       6.204542081045e-03       1.686529062479e+04 
       6.255485925756e-03       1.694933281251e+04 
       6.381627449334e-03       1.715447643524e+04 
       6.507898760557e-03       1.735567580412e+04 
       6.634293318374e-03       1.755296437384e+04 
       6.760805051611e-03       1.774638795516e+04 
       6.813121567463e-03       1.782520268396e+04 
       6.887428320072e-03       1.793597575795e+04 
       7.014157879371e-03       1.812177026937e+04 
       7.140988849096e-03       1.830381046839e+04 
       7.267916683954e-03       1.848212521342e+04 
       7.394937147591e-03       1.865676553981e+04 
       7.481074662313e-03       1.877305824468e+04 
       7.522046288807e-03       1.882777327813e+04 
       7.649240419922e-03       1.899517419775e+04 
       7.776516097074e-03       1.915901956318e+04 
       7.903870102267e-03       1.931934393480e+04 
