# Matter power spectrum P(k) at redshift z=0
# for k=1.04953e-05 to 1.70195 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049530776193e-05       4.754003162588e+01 
       2.341986063795e-05       1.031604997737e+02 
       3.639019968024e-05       1.578500395850e+02 
       4.944145998456e-05       2.121822528010e+02 
       6.260936192774e-05       2.664862695991e+02 
       7.593053182789e-05       3.210107548816e+02 
       8.944283292738e-05       3.759697150431e+02 
       1.031857111283e-04       4.315612775913e+02 
       1.172005599436e-04       4.879772797410e+02 
       1.315311091606e-04       5.454089936134e+02 
       1.462238417190e-04       6.040521750815e+02 
       1.484340210776e-04       6.128540398351e+02 
       1.613284432414e-04       6.641087674104e+02 
       1.632774231854e-04       6.718420672351e+02 
       1.768982884646e-04       7.257910618484e+02 
       1.796051655039e-04       7.364928568519e+02 
       1.929909684339e-04       7.893237048579e+02 
       1.959329078225e-04       8.009151988346e+02 
       2.096688616300e-04       8.549460264804e+02 
       2.152293305626e-04       8.767774191570e+02 
       2.269997510726e-04       9.229148737742e+02 
       2.360100935134e-04       9.581666160457e+02 
       2.450574877021e-04       9.935067067937e+02 
       2.597595368859e-04       1.050817686746e+03 
       2.639226977529e-04       1.067020669493e+03 
       2.836835281216e-04       1.143780049527e+03 
       2.849933204691e-04       1.148859355855e+03 
       3.044364185456e-04       1.224136036645e+03 
       3.131957844738e-04       1.257976336638e+03 
       3.262868823593e-04       1.308469164517e+03 
       3.443669289001e-04       1.378046113481e+03 
       3.493502682625e-04       1.397191606173e+03 
       3.737524635343e-04       1.490749451209e+03 
       3.770224135372e-04       1.503262430666e+03 
       3.996304842100e-04       1.589622968158e+03 
       4.141309188066e-04       1.644875163402e+03 
       4.271328799507e-04       1.694327451253e+03 
       4.556924447083e-04       1.802657845936e+03 
       4.564198612842e-04       1.805411696467e+03 
       4.876630360502e-04       1.923455548553e+03 
       5.002226510316e-04       1.970776976074e+03 
       5.210446229980e-04       2.049064835861e+03 
       5.477215377765e-04       2.149070374898e+03 
       5.567559979518e-04       2.182863689933e+03 
       5.949954279804e-04       2.325483391384e+03 
       6.026421255752e-04       2.353923109126e+03 
       6.359648693287e-04       2.477548440704e+03 
       6.605313937955e-04       2.568369739160e+03 
       6.798657536498e-04       2.639658624272e+03 
       7.258423630696e-04       2.808516041444e+03 
       7.268937706654e-04       2.812366548242e+03 
       7.772327749289e-04       2.996154553743e+03 
       7.970906931869e-04       3.068350912106e+03 
       8.310480918802e-04       3.191409151677e+03 
       8.742763841472e-04       3.347338092463e+03 
       8.884796537784e-04       3.398393739349e+03 
       9.496355274408e-04       3.617229007256e+03 
       9.603681163723e-04       3.655466850038e+03 
       1.014586464742e-03       3.847873614490e+03 
       1.053881549651e-03       3.986528349087e+03 
       1.083362080063e-03       4.090114344382e+03 
       1.155949121412e-03       4.343566087219e+03 
       1.157785364406e-03       4.349947980903e+03 
       1.232292067763e-03       4.607679530796e+03 
       1.270595220425e-03       4.739244434622e+03 
       1.312295998029e-03       4.881759657960e+03 
       1.395279798130e-03       5.163105595634e+03 
       1.395831398573e-03       5.164965651131e+03 
       1.482740366002e-03       5.456396710828e+03 
       1.528870417100e-03       5.609760848519e+03 
       1.572843558453e-03       5.755099501389e+03 
       1.665947258382e-03       6.060076637881e+03 
       1.677304438177e-03       6.097024047174e+03 
       1.761850011057e-03       6.370329802034e+03 
       1.840581861363e-03       6.622090643840e+03 
       1.860348457188e-03       6.684882783047e+03 
       1.961242144836e-03       7.002799730519e+03 
       2.033546088764e-03       7.227976254637e+03 
       2.064337254109e-03       7.323199297642e+03 
       2.169449280505e-03       7.645263928784e+03 
       2.226510316164e-03       7.818165363055e+03 
       2.276404794805e-03       7.968243159241e+03 
       2.385042433191e-03       8.291457412763e+03 
       2.449161347781e-03       8.479949057090e+03 
       2.495213279584e-03       8.614296001682e+03 
       2.606780792348e-03       8.936212467990e+03 
       2.686655781505e-03       9.163615293702e+03 
       2.719620407785e-03       9.256725031828e+03 
       2.833618929250e-03       9.575407244093e+03 
       2.938993617337e-03       9.865457123705e+03 
       2.948673787231e-03       9.891886131644e+03 
       3.064692234613e-03       1.020583563269e+04 
       3.181590523541e-03       1.051697431789e+04 
       3.235861659492e-03       1.065966990846e+04 
       3.299293095958e-03       1.082505575998e+04 
       3.417731808863e-03       1.112986931520e+04 
       3.536845207066e-03       1.143123561100e+04 
       3.547573103755e-03       1.145812538793e+04 
       3.656577850220e-03       1.172899986784e+04 
       3.776879696703e-03       1.202303034043e+04 
       3.888971352234e-03       1.229241391932e+04 
       3.897705544111e-03       1.231322040901e+04 
       4.019014524234e-03       1.259947495148e+04 
       4.140769649322e-03       1.288172571157e+04 
       4.262937405815e-03       1.315990712045e+04 
       4.274899807036e-03       1.318687846852e+04 
       4.385487391487e-03       1.343397647185e+04 
