# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.371651126129e-10       4.144098384679e-15       3.534141989466e-13       0.000000000000e+00       8.210531385277e-09       4.444215502596e-10      -1.839400726237e-12 
    3       1.299348557035e-10       5.311834157629e-15       3.962773119306e-13       0.000000000000e+00       5.046303437814e-09       3.154418777221e-10      -1.394052894197e-12 
    4       1.230672507552e-10       4.597489881274e-15       3.703568154769e-13       0.000000000000e+00       3.511380202003e-09       2.387388449477e-10      -9.134212120736e-13 
    5       1.179245265385e-10       3.069417129953e-15       3.152824848450e-13       0.000000000000e+00       2.621008835009e-09       1.884380473232e-10      -5.087396197407e-13 
    6       1.144049562267e-10       1.716537109384e-15       2.537850734659e-13       0.000000000000e+00       2.046835179014e-09       1.532179885185e-10      -2.104836696412e-13 
    7       1.121154456479e-10       9.260931514592e-16       1.991341948872e-13       0.000000000000e+00       1.650408471603e-09       1.273717242634e-10      -2.009882796484e-14 
    8       1.107898711674e-10       5.953777264895e-16       1.571313906189e-13       0.000000000000e+00       1.362625941101e-09       1.077840124599e-10       7.721740904049e-14 
    9       1.101898953674e-10       4.766395461552e-16       1.290417587095e-13       0.000000000000e+00       1.145965253660e-09       9.261788119101e-11       1.046571548459e-13 
   10       1.100784337499e-10       4.060300962242e-16       1.135305358485e-13       0.000000000000e+00       9.784510830985e-10       8.063030431220e-11       8.797928302951e-14 
   11       1.104109097600e-10       3.415538664402e-16       1.079341985983e-13       0.000000000000e+00       8.254526586024e-10       7.127653837774e-11       5.125532429756e-14 
   12       1.110285115143e-10       2.980663524372e-16       1.091781556484e-13       0.000000000000e+00       7.209480475810e-10       6.301132221772e-11       1.195210037246e-14 
   13       1.118832127405e-10       2.862955661413e-16       1.145651686073e-13       0.000000000000e+00       6.351899246551e-10       5.631391962533e-11      -1.796132360446e-14 
   14       1.129420702535e-10       2.984410720224e-16       1.220767507702e-13       0.000000000000e+00       5.638669524303e-10       5.050545215950e-11      -3.425827005085e-14 
   15       1.141809104862e-10       3.230670054690e-16       1.303609731035e-13       0.000000000000e+00       5.038523078964e-10       4.561039624051e-11      -3.717495410684e-14 
   16       1.155200779928e-10       3.578918048842e-16       1.388019270327e-13       0.000000000000e+00       4.528432516058e-10       4.138375261841e-11      -3.059430156650e-14 
   17       1.169973923417e-10       4.082837562347e-16       1.472589794969e-13       0.000000000000e+00       4.091007660866e-10       3.769148901210e-11      -1.965193233802e-14 
   18       1.185482030625e-10       4.795025959486e-16       1.558645508918e-13       0.000000000000e+00       3.711472478925e-10       3.448498813314e-11      -9.197751816243e-15 
   19       1.201844700400e-10       5.719193287303e-16       1.648182597538e-13       0.000000000000e+00       3.383762706652e-10       3.171392990929e-11      -1.832370012415e-15 
   20       1.219011957362e-10       6.836490713162e-16       1.742993153194e-13       0.000000000000e+00       3.095220642600e-10       2.925165155389e-11       7.253324527079e-16 
   21       1.236965083432e-10       8.140764094155e-16       1.842982404108e-13       0.000000000000e+00       2.841292411681e-10       2.704971760186e-11      -9.587895873829e-16 
   22       1.255399066718e-10       9.626956370604e-16       1.946572210943e-13       0.000000000000e+00       2.615880457175e-10       2.505432802855e-11      -5.134856265134e-15 
   23       1.274398561079e-10       1.129625865970e-15       2.050048537331e-13       0.000000000000e+00       2.415871993732e-10       2.326481739003e-11      -1.005280667150e-14 
   24       1.293952110639e-10       1.315058054678e-15       2.148658055584e-13       0.000000000000e+00       2.236630380862e-10       2.167293661563e-11      -1.385475001774e-14 
   25       1.314036407088e-10       1.519390114953e-15       2.239774317718e-13       0.000000000000e+00       2.076037103992e-10       2.025021164015e-11      -1.574769098277e-14 
   26       1.334478635396e-10       1.743239949007e-15       2.321474357569e-13       0.000000000000e+00       1.931174847004e-10       1.894970340684e-11      -1.544210486133e-14 
   27       1.355275943945e-10       1.988315445550e-15       2.392822045216e-13       0.000000000000e+00       1.800298258836e-10       1.776171580435e-11      -1.354273208794e-14 
   28       1.376385593766e-10       2.256681730760e-15       2.453438503343e-13       0.000000000000e+00       1.681143585423e-10       1.667968804200e-11      -1.102184807892e-14 
   29       1.397892466330e-10       2.549811105522e-15       2.503746913472e-13       0.000000000000e+00       1.573098099975e-10       1.570046772659e-11      -8.509746203750e-15 
   30       1.419802107133e-10       2.869016560228e-15       2.544737733036e-13       0.000000000000e+00       1.474997341258e-10       1.481200664870e-11      -6.642095658470e-15 
   31       1.442015493154e-10       3.215550696725e-15       2.577468033603e-13       0.000000000000e+00       1.384834830744e-10       1.399392678421e-11      -6.008969876515e-15 
   32       1.464567377286e-10       3.590321244827e-15       2.601602081786e-13       0.000000000000e+00       1.302141944514e-10       1.323922353497e-11      -6.455507921973e-15 
   33       1.487450711696e-10       3.994055012568e-15       2.616321848830e-13       0.000000000000e+00       1.226331042748e-10       1.253905024448e-11      -7.507269468413e-15 
   34       1.510587076685e-10       4.427437543071e-15       2.620634008751e-13       0.000000000000e+00       1.156337714418e-10       1.188115465464e-11      -8.626967713251e-15 
   35       1.533986490056e-10       4.891378377602e-15       2.613166918822e-13       0.000000000000e+00       1.091801627599e-10       1.126676151430e-11      -9.520163373462e-15 
   36       1.557625902265e-10       5.386831102063e-15       2.592276162959e-13       0.000000000000e+00       1.032202941141e-10       1.069883875700e-11      -9.927596291224e-15 
   37       1.581442070050e-10       5.914694686805e-15       2.556435705008e-13       0.000000000000e+00       9.767635704764e-11       1.017748790256e-11      -9.634685861197e-15 
   38       1.605482969505e-10       6.475723160149e-15       2.505455039603e-13       0.000000000000e+00       9.253391513878e-11       9.700489468741e-12      -8.790882067107e-15 
   39       1.629795067521e-10       7.070579423075e-15       2.439668772986e-13       0.000000000000e+00       8.777656041162e-11       9.262407533203e-12      -7.699397781690e-15 
   40       1.654375912121e-10       7.699853419622e-15       2.359627596360e-13       0.000000000000e+00       8.335878553462e-11       8.854050599367e-12      -6.737909111520e-15 
   41       1.679195002590e-10       8.364099042430e-15       2.265875735037e-13       0.000000000000e+00       7.922181425405e-11       8.465319948233e-12      -6.259682991097e-15 
   42       1.704277496900e-10       9.063970590358e-15       2.158164663375e-13       0.000000000000e+00       7.535339066651e-11       8.095607416118e-12      -6.246677547582e-15 
