# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.371655748830e-10       4.144323093235e-15       3.534141950242e-13       2.247085133840e-19       8.210531385277e-09       4.444215502596e-10      -1.839400726237e-12 
    3       1.299357779689e-10       5.312283668148e-15       3.962772944473e-13       4.495100950778e-19       5.046303437814e-09       3.154418777221e-10      -1.394052894197e-12 
    4       1.230687828714e-10       4.598239271805e-15       3.703567652297e-13       7.493884486521e-19       3.511380202003e-09       2.387388449477e-10      -9.134212120736e-13 
    5       1.179268154996e-10       3.070541599619e-15       3.152823703456e-13       1.124462537873e-18       2.621008835009e-09       1.884380473232e-10      -5.087396197407e-13 
    6       1.144081455929e-10       1.718112005588e-15       2.537848482504e-13       1.574876779670e-18       2.046835179014e-09       1.532179885185e-10      -2.104836696412e-13 
    7       1.121196750600e-10       9.281939949875e-16       1.991337950560e-13       2.100798377759e-18       1.650408471603e-09       1.273717242634e-10      -2.009882796484e-14 
    8       1.107952759604e-10       5.980802340295e-16       1.571307326419e-13       2.702414306207e-18       1.362625941101e-09       1.077840124599e-10       7.721740904049e-14 
    9       1.101966062881e-10       4.800196497401e-16       1.290407375158e-13       3.379928031920e-18       1.145965253660e-09       9.261788119101e-11       1.046571548459e-13 
   10       1.100865767830e-10       4.101639591094e-16       1.135290232182e-13       4.133556071339e-18       9.784510830985e-10       8.063030431220e-11       8.797928302951e-14 
   11       1.104206060622e-10       3.465178949238e-16       1.079320418605e-13       4.963524479582e-18       8.254526586024e-10       7.127653837774e-11       5.125532429756e-14 
   12       1.110398774516e-10       3.039372031593e-16       1.091751766860e-13       5.870065369836e-18       7.209480475810e-10       6.301132221772e-11       1.195210037246e-14 
   13       1.118963600220e-10       2.931501484412e-16       1.145611631576e-13       6.853413556985e-18       6.351899246551e-10       5.631391962533e-11      -1.796132360446e-14 
