# Matter power spectrum P(k) at redshift z=0
# for k=1.04911e-05 to 1.70202 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049110269962e-05       4.763047657279e+01 
       2.341605542678e-05       1.033804819976e+02 
       3.638678638789e-05       1.581971984908e+02 
       4.943843388389e-05       2.126550439933e+02 
       6.260672147810e-05       2.670839993823e+02 
       7.592827870473e-05       3.217332424351e+02 
       8.944097210101e-05       3.768171193221e+02 
       1.031842509934e-04       4.325339864549e+02 
       1.171995125021e-04       4.890759326280e+02 
       1.315304902615e-04       5.466346928691e+02 
       1.462236713604e-04       6.054057747755e+02 
       1.484340210776e-04       6.142271158643e+02 
       1.613287459388e-04       6.655917119398e+02 
       1.632774231854e-04       6.733400386900e+02 
       1.768990936940e-04       7.274048456758e+02 
       1.796051655039e-04       7.381255793988e+02 
       1.929923111548e-04       7.910698939731e+02 
       1.959329078225e-04       8.026796021809e+02 
       2.096707828986e-04       8.568264198075e+02 
       2.152293305626e-04       8.786934179248e+02 
       2.270022987521e-04       9.249312872594e+02 
       2.360100935134e-04       9.602410488691e+02 
       2.450607172782e-04       9.956611229455e+02 
       2.597595368859e-04       1.053066493414e+03 
       2.639266732638e-04       1.069314812749e+03 
       2.836883232064e-04       1.146216002925e+03 
       2.849933204691e-04       1.151285614804e+03 
       3.044421176148e-04       1.226715568187e+03 
       3.131957844738e-04       1.260591212320e+03 
       3.262935818833e-04       1.311193960795e+03 
       3.443669289001e-04       1.380857488626e+03 
       3.493580781682e-04       1.400063328479e+03 
       3.737615086861e-04       1.493769246986e+03 
       3.770224135372e-04       1.506266141838e+03 
       3.996409059363e-04       1.592791807205e+03 
       4.141309188066e-04       1.648081199275e+03 
       4.271448375568e-04       1.697645820955e+03 
       4.556924447083e-04       1.806070516466e+03 
       4.564335334635e-04       1.808879745474e+03 
       4.876786220765e-04       1.927072914119e+03 
       5.002226510316e-04       1.974389795905e+03 
       5.210623435460e-04       2.052830572065e+03 
       5.477215377765e-04       2.152873851494e+03 
       5.567760953591e-04       2.186776249072e+03 
       5.950181657380e-04       2.329540923645e+03 
       6.026421255752e-04       2.357921471887e+03 
       6.359905305768e-04       2.481748677681e+03 
       6.605313937955e-04       2.572548303749e+03 
       6.798946384728e-04       2.643998648342e+03 
       7.258423630696e-04       2.812871464091e+03 
       7.269261920389e-04       2.816843489829e+03 
       7.772690532748e-04       3.000765112111e+03 
       7.970906931869e-04       3.072873170949e+03 
       8.310885483397e-04       3.196148895058e+03 
       8.742763841472e-04       3.352015303422e+03 
       8.885246024978e-04       3.403258391474e+03 
       9.496852673564e-04       3.622212670941e+03 
       9.603681163723e-04       3.660289745124e+03 
       1.014641271499e-03       3.852969137260e+03 
       1.053881549651e-03       3.991481215782e+03 
       1.083422198775e-03       4.095313772660e+03 
       1.156014760920e-03       4.348860725344e+03 
       1.157785364406e-03       4.355016420006e+03 
       1.232363396897e-03       4.613061292231e+03 
       1.270595220425e-03       4.744411740288e+03 
       1.312373144120e-03       4.887221835674e+03 
       1.395279798130e-03       5.168363486136e+03 
       1.395914448173e-03       5.170504052474e+03 
       1.482829367538e-03       5.462009410876e+03 
       1.528870417100e-03       5.615105917917e+03 
       1.572938526341e-03       5.760785785993e+03 
       1.666048178045e-03       6.065836377362e+03 
       1.677304438177e-03       6.102462071852e+03 
       1.761956844334e-03       6.376161895808e+03 
       1.840581861363e-03       6.627624257305e+03 
       1.860461147668e-03       6.690784827758e+03 
       1.961360622805e-03       7.008768161984e+03 
       2.033546088764e-03       7.233608821114e+03 
       2.064461440890e-03       7.329229314242e+03 
       2.169579092113e-03       7.651348594472e+03 
       2.226510316164e-03       7.823875268746e+03 
       2.276540144892e-03       7.974373319087e+03 
       2.385183235334e-03       8.297620074095e+03 
       2.449161347781e-03       8.485701861722e+03 
       2.495359448989e-03       8.620473624880e+03 
       2.606932247069e-03       8.942385450306e+03 
       2.686655781505e-03       9.169332235739e+03 
       2.719777069542e-03       9.262870232889e+03 
       2.833780723932e-03       9.581499946637e+03 
       2.938993617337e-03       9.871023814329e+03 
       2.948840645158e-03       9.897899397312e+03 
       3.064864090627e-03       1.021174073569e+04 
       3.181767316960e-03       1.052274013397e+04 
       3.235861659492e-03       1.066489228666e+04 
       3.299474770445e-03       1.083065041681e+04 
       3.417918312241e-03       1.113526053436e+04 
       3.537036491090e-03       1.143639066514e+04 
       3.547573103755e-03       1.146277776744e+04 
       3.656773870329e-03       1.173388557616e+04 
       3.777080411775e-03       1.202761393263e+04 
       3.888971352234e-03       1.229619873716e+04 
       3.897910916208e-03       1.231746774115e+04 
       4.019224518363e-03       1.260335442190e+04 
       4.140984233200e-03       1.288520255762e+04 
       4.263156549650e-03       1.316295014451e+04 
       4.274899807036e-03       1.318938337953e+04 
       4.385711067777e-03       1.343655288859e+04 
       4.508620175273e-03       1.370597256509e+04 
       4.631858759374e-03       1.397118470951e+04 
       4.690515066053e-03       1.409570150500e+04 
       4.755403950487e-03       1.423217368704e+04 
       4.879234894099e-03       1.448892824334e+04 
       5.003332547858e-03       1.474144957714e+04 
       5.127679500981e-03       1.498973517081e+04 
       5.150660531394e-03       1.503510298722e+04 
       5.252259813467e-03       1.523379744910e+04 
       5.377058872843e-03       1.547364726650e+04 
       5.502063266430e-03       1.570929966140e+04 
       5.627260667346e-03       1.594078117229e+04 
       5.655336203058e-03       1.599207350468e+04 
       5.752639732659e-03       1.616810852087e+04 
       5.878190012317e-03       1.639130870445e+04 
       6.003901867595e-03       1.661041490071e+04 
       6.129766398011e-03       1.682545203700e+04 
       6.204542081045e-03       1.695117563751e+04 
       6.255775375723e-03       1.703645446890e+04 
       6.381921186590e-03       1.724345592622e+04 
       6.508196777153e-03       1.744648943958e+04 
       6.634595606866e-03       1.764559042309e+04 
       6.761111605027e-03       1.784080300188e+04 
       6.813121567463e-03       1.791988349178e+04 
       6.887739131878e-03       1.803215608992e+04 
       7.014472943439e-03       1.821969077743e+04 
       7.141308159674e-03       1.840344842003e+04 
       7.268240235645e-03       1.858345672362e+04 
       7.395264935325e-03       1.875976375667e+04 
       7.481074662313e-03       1.887672588598e+04 
       7.522378307820e-03       1.893241292615e+04 
       7.649576665737e-03       1.910143381451e+04 
       7.776856565483e-03       1.926687309836e+04 
       7.904214789313e-03       1.942876442076e+04 
       8.031648328941e-03       1.958714979499e+04 
       8.159154370571e-03       1.974205955882e+04 
       8.223244767701e-03       1.981859952725e+04 
       8.286730281203e-03       1.989354717152e+04 
       8.414373596102e-03       2.004165200142e+04 
       8.542082007307e-03       2.018640101838e+04 
       8.669853353097e-03       2.032783897307e+04 
       8.797685608313e-03       2.046599874342e+04 
       8.925576875470e-03       2.060092656488e+04 
       9.024788481520e-03       2.070334292841e+04 
       9.053525376573e-03       2.073265059627e+04 
       9.181529445590e-03       2.086121788829e+04 
       9.309587521511e-03       2.098666508236e+04 
       9.437698141946e-03       2.110901513375e+04 
       9.565859937226e-03       2.122831687196e+04 
       9.694071624938e-03       2.134460653111e+04 
       9.822332004892e-03       2.145791427287e+04 
       9.900549205878e-03       2.152554039094e+04 
       9.950639954449e-03       2.156827272504e+04 
       1.007899442421e-02       2.167572121741e+04 
       1.020739443402e-02       2.178029498916e+04 
       1.033583906924e-02       2.188203041012e+04 
       1.046432747736e-02       2.198095603352e+04 
       1.059285886476e-02       2.207710646742e+04 
       1.072143249379e-02       2.217051870662e+04 
       1.085004767999e-02       2.226121914320e+04 
       1.088021374499e-02       2.228210179902e+04 
       1.097870378958e-02       2.234924625099e+04 
       1.110740023704e-02       2.243463433445e+04 
       1.123613648296e-02       2.251740882297e+04 
       1.136491203195e-02       2.259759690334e+04 
       1.149372643076e-02       2.267523997892e+04 
       1.162257926646e-02       2.275036479718e+04 
       1.175147016489e-02       2.282299736041e+04 
       1.188039878901e-02       2.289317228084e+04 
       1.193409529464e-02       2.292167923931e+04 
       1.200936483757e-02       2.296092393049e+04 
       1.213836804371e-02       2.302627279393e+04 
       1.226740817379e-02       2.308924819763e+04 
       1.239648502619e-02       2.314988665897e+04 
       1.252559843030e-02       2.320820778927e+04 
       1.265474824548e-02       2.326425725221e+04 
       1.278393436017e-02       2.331803933525e+04 
       1.291315669104e-02       2.336960781494e+04 
       1.304241518219e-02       2.341897130566e+04 
       1.310672406115e-02       2.344271693670e+04 
       1.317170980443e-02       2.346616340865e+04 
       1.330104055462e-02       2.351121091566e+04 
       1.343040745501e-02       2.355413603041e+04 
       1.355981055272e-02       2.359496822682e+04 
       1.368924991914e-02       2.363373082650e+04 
       1.381872564955e-02       2.367045628360e+04 
       1.394823786259e-02       2.370516665208e+04 
       1.407778669990e-02       2.373788712439e+04 
       1.420737232576e-02       2.376864227891e+04 
       1.433699492673e-02       2.379745833031e+04 
       1.438325664242e-02       2.380727699543e+04 
       1.446665471140e-02       2.382436584379e+04 
       1.459635191009e-02       2.384937610522e+04 
       1.472608677465e-02       2.387252343309e+04 
       1.485585957823e-02       2.389383243997e+04 
       1.498567061512e-02       2.391332431924e+04 
       1.511552020060e-02       2.393101866131e+04 
       1.524540867081e-02       2.394695360626e+04 
       1.537533638269e-02       2.396112611059e+04 
       1.550530371385e-02       2.397358257359e+04 
       1.563531106257e-02       2.398434518825e+04 
       1.573400623423e-02       2.399138974474e+04 
       1.576535884774e-02       2.399342091972e+04 
       1.589544750887e-02       2.400084346467e+04 
       1.602557750611e-02       2.400664255069e+04 
       1.615574932027e-02       2.401083228073e+04 
       1.628596345288e-02       2.401342054119e+04 
       1.641622042629e-02       2.401444648024e+04 
       1.654652078371e-02       2.401393687027e+04 
       1.667686508938e-02       2.401190410109e+04 
       1.680725392867e-02       2.400835475958e+04 
       1.693768790823e-02       2.400333414771e+04 
       1.706816765615e-02       2.399684648897e+04 
       1.719869382217e-02       2.398893496115e+04 
       1.732926707786e-02       2.397960126364e+04 
       1.736678046608e-02       2.397665683105e+04 
