# Matter power spectrum P(k) at redshift z=0
# for k=1.04911e-05 to 1.70202 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049110269962e-05       4.761704470283e+01 
       2.341605542678e-05       1.033514003261e+02 
       3.638678638789e-05       1.581528905775e+02 
       4.943843388389e-05       2.125958592180e+02 
       6.260672147810e-05       2.670102853955e+02 
       7.592827870473e-05       3.216453736780e+02 
       8.944097210101e-05       3.767155147931e+02 
       1.031842509934e-04       4.324191244856e+02 
       1.171995125021e-04       4.889483654391e+02 
       1.315304902615e-04       5.464950622349e+02 
       1.462236713604e-04       6.052548296133e+02 
       1.484340210776e-04       6.140745657818e+02 
       1.613287459388e-04       6.654303284405e+02 
       1.632774231854e-04       6.731774007350e+02 
       1.768990936940e-04       7.272340505234e+02 
       1.796051655039e-04       7.379532939296e+02 
       1.929923111548e-04       7.908908911672e+02 
       1.959329078225e-04       8.024992726648e+02 
       2.096707828986e-04       8.566406215935e+02 
       2.152293305626e-04       8.785057545800e+02 
       2.270022987521e-04       9.247403496409e+02 
       2.360100935134e-04       9.600482364542e+02 
       2.450607172782e-04       9.954669862065e+02 
       2.597595368859e-04       1.052871418190e+03 
       2.639266732638e-04       1.069119747301e+03 
       2.836883232064e-04       1.146022660622e+03 
       2.849933204691e-04       1.151092484267e+03 
       3.044421176148e-04       1.226527038990e+03 
       3.131957844738e-04       1.260405638954e+03 
       3.262935818833e-04       1.311013834254e+03 
       3.443669289001e-04       1.380686883112e+03 
       3.493580781682e-04       1.399895759015e+03 
       3.737615086861e-04       1.493619021316e+03 
       3.770224135372e-04       1.506118544367e+03 
       3.996409059363e-04       1.592664411597e+03 
       4.141309188066e-04       1.647968519671e+03 
       4.271448375568e-04       1.697547505464e+03 
       4.556924447083e-04       1.806007375075e+03 
       4.564335334635e-04       1.808817582231e+03 
       4.876786220765e-04       1.927054847592e+03 
       5.002226510316e-04       1.974390946555e+03 
       5.210623435460e-04       2.052865461762e+03 
       5.477215377765e-04       2.152955031074e+03 
       5.567760953591e-04       2.186873910269e+03 
       5.950181657380e-04       2.329712180241e+03 
       6.026421255752e-04       2.358108136810e+03 
       6.359905305768e-04       2.482005453336e+03 
       6.605313937955e-04       2.572859382724e+03 
       6.798946384728e-04       2.644354136131e+03 
       7.258423630696e-04       2.813337722609e+03 
       7.269261920389e-04       2.817312452359e+03 
       7.772690532748e-04       3.001364365338e+03 
       7.970906931869e-04       3.073526304867e+03 
       8.310885483397e-04       3.196898008470e+03 
       8.742763841472e-04       3.352893216344e+03 
       8.885246024978e-04       3.404180585142e+03 
       9.496852673564e-04       3.623335806018e+03 
       9.603681163723e-04       3.661449881888e+03 
       1.014641271499e-03       3.854326602653e+03 
       1.053881549651e-03       3.992991524088e+03 
       1.083422198775e-03       4.096945013491e+03 
       1.156014760920e-03       4.350811198960e+03 
       1.157785364406e-03       4.356975076487e+03 
       1.232363396897e-03       4.615381807480e+03 
       1.270595220425e-03       4.746930692433e+03 
       1.312373144120e-03       4.889967485718e+03 
       1.395279798130e-03       5.171588736337e+03 
       1.395914448173e-03       5.173733123626e+03 
       1.482829367538e-03       5.465782765586e+03 
       1.528870417100e-03       5.619184263815e+03 
