# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.370301445755e-10       4.143441055019e-15       3.535954380278e-13       0.000000000000e+00       8.184799063809e-09       4.433645735503e-10      -1.839660296191e-12 
    3       1.298311519684e-10       5.312428921874e-15       3.965053185921e-13       0.000000000000e+00       5.037781553336e-09       3.147086772479e-10      -1.394641020794e-12 
    4       1.229911986707e-10       4.599384058916e-15       3.705992818239e-13       0.000000000000e+00       3.506057233903e-09       2.381531739133e-10      -9.140295762121e-13 
    5       1.178734680700e-10       3.071473028824e-15       3.154858174843e-13       0.000000000000e+00       2.616761004344e-09       1.879758211340e-10      -5.092780097259e-13 
    6       1.143704045521e-10       1.717975116275e-15       2.539303840394e-13       0.000000000000e+00       2.043164165590e-09       1.528455259690e-10      -2.108679844401e-13 
    7       1.120892654508e-10       9.268200368423e-16       1.992326377393e-13       0.000000000000e+00       1.647060307865e-09       1.270573554163e-10      -2.031624616042e-14 
    8       1.107695367876e-10       5.957109159810e-16       1.572026974310e-13       0.000000000000e+00       1.359515994417e-09       1.075201245274e-10       7.715352504011e-14 
    9       1.101803238013e-10       4.768866828199e-16       1.291040062285e-13       0.000000000000e+00       1.143003083763e-09       9.241113500471e-11       1.047198662290e-13 
   10       1.100710466725e-10       4.062919512848e-16       1.135961609007e-13       0.000000000000e+00       9.756561277712e-10       8.047859415193e-11       8.813466743703e-14 
   11       1.104084036634e-10       3.417755847626e-16       1.080051373610e-13       0.000000000000e+00       8.233363282341e-10       7.117306596147e-11       5.148003076177e-14 
   12       1.110300809426e-10       2.981785485465e-16       1.092371111753e-13       0.000000000000e+00       7.190436655097e-10       6.291697372006e-11       1.218604473594e-14 
   13       1.118797387028e-10       2.863094503229e-16       1.146080793881e-13       0.000000000000e+00       6.334663714338e-10       5.623221529960e-11      -1.773442951476e-14 
   14       1.129491969083e-10       2.984388184118e-16       1.221186603671e-13       0.000000000000e+00       5.623010642916e-10       5.046610770456e-11      -3.401810094839e-14 
   15       1.141918443311e-10       3.231401720054e-16       1.304021976873e-13       0.000000000000e+00       5.024237203244e-10       4.558740351118e-11      -3.695508365475e-14 
   16       1.155317184332e-10       3.581133447270e-16       1.388386982759e-13       0.000000000000e+00       4.515350231735e-10       4.136894789860e-11      -3.039535549077e-14 
