# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.370306054238e-10       4.143665079157e-15       3.535954341166e-13       2.240240947097e-19       8.184799063809e-09       4.433645735503e-10      -1.839660296191e-12 
    3       1.298320713933e-10       5.312877063405e-15       3.965053011589e-13       4.481411100166e-19       5.037781553336e-09       3.147086772479e-10      -1.394641020794e-12 
    4       1.229927260596e-10       4.600131167463e-15       3.705992317204e-13       7.471064767910e-19       3.506057233903e-09       2.381531739133e-10      -9.140295762121e-13 
    5       1.178757499530e-10       3.072594074865e-15       3.154857033121e-13       1.121038956910e-18       2.616761004344e-09       1.879758211340e-10      -5.092780097259e-13 
    6       1.143735840303e-10       1.719545218291e-15       2.539301594668e-13       1.570082711154e-18       2.043164165590e-09       1.528455259690e-10      -2.108679844401e-13 
    7       1.120934817123e-10       9.289144863452e-16       1.992322390487e-13       2.094404630919e-18       1.647060307865e-09       1.270573554163e-10      -2.031624616042e-14 
    8       1.107749247214e-10       5.984051999574e-16       1.572020413292e-13       2.694191320060e-18       1.359515994417e-09       1.075201245274e-10       7.715352504011e-14 
    9       1.101870137159e-10       4.802565030964e-16       1.291029879421e-13       3.369645816104e-18       1.143003083763e-09       9.241113500471e-11       1.047198662290e-13 
   10       1.100791641233e-10       4.104132403241e-16       1.135946525723e-13       4.120984146378e-18       9.756561277712e-10       8.047859415193e-11       8.813466743703e-14 
   11       1.104180693868e-10       3.467245174060e-16       1.080029867505e-13       4.948431817538e-18       8.233363282341e-10       7.117306596147e-11       5.148003076177e-14 
   12       1.110414108946e-10       3.040315492408e-16       1.092341406671e-13       5.852220336514e-18       7.190436655097e-10       6.291697372006e-11       1.218604473594e-14 
   13       1.118928441930e-10       2.931431954133e-16       1.146040852942e-13       6.832583857048e-18       6.334663714338e-10       5.623221529960e-11      -1.773442951476e-14 
   14       1.129641848194e-10       3.063302331444e-16       1.221134125122e-13       7.889756038932e-18       5.623010642916e-10       5.046610770456e-11      -3.401810094839e-14 
   15       1.142088174104e-10       3.321664219599e-16       1.303954392566e-13       9.023967197111e-18       5.024237203244e-10       4.558740351118e-11      -3.695508365475e-14 
   16       1.155507756402e-10       3.683518215057e-16       1.388301459026e-13       1.023544180532e-17       4.515350231735e-10       4.136894789860e-11      -3.039535549077e-14 
   17       1.170262782350e-10       4.202230809460e-16       1.472963980244e-13       1.152439640442e-17       4.078987650612e-10       3.768087225651e-11      -1.947082241509e-14 
   18       1.185801487507e-10       4.930135322231e-16       1.559090425521e-13       1.289103777395e-17       3.700400151370e-10       3.448458482526e-11      -9.026588820750e-15 
   19       1.202258094943e-10       5.870629995055e-16       1.648658052568e-13       1.433556261467e-17       3.373528039214e-10       3.172714216381e-11      -1.662993979442e-15 
   20       1.219544120290e-10       7.004577623147e-16       1.743522027663e-13       1.585815485746e-17       3.085740926302e-10       2.927318513690e-11       8.963283476449e-16 
   21       1.237588282471e-10       8.326067496491e-16       1.843529839843e-13       1.745898808966e-17       2.832491987230e-10       2.707431445816e-11      -7.887422655991e-16 
   22       1.256039702927e-10       9.830466501995e-16       1.947022618424e-13       1.913822260453e-17       2.607694468778e-10       2.508064495365e-11      -4.974085801718e-15 
