# Matter power spectrum P(k) at redshift z=0
# for k=1.04948e-05 to 1.70203 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049482411302e-05       4.754477111975e+01 
       2.341980487089e-05       1.031752467232e+02 
       3.639057410219e-05       1.578749062023e+02 
       4.944227039342e-05       2.122169715770e+02 
       6.261061768892e-05       2.665308244442e+02 
       7.593224600421e-05       3.210652504500e+02 
       8.944502246426e-05       3.760342958257e+02 
       1.031883970974e-04       4.316360756326e+02 
       1.172037678489e-04       4.880624755011e+02 
       1.315348693123e-04       5.455050459696e+02 
       1.462281896812e-04       6.041591460561e+02 
       1.484340210776e-04       6.129450043434e+02 
       1.613334203610e-04       6.642271769939e+02 
       1.632774231854e-04       6.719418416471e+02 
       1.769039424892e-04       7.259213718570e+02 
       1.796051655039e-04       7.366024186481e+02 
       1.929973542277e-04       7.894663705601e+02 
       1.959329078225e-04       8.010344539730e+02 
       2.096760419967e-04       8.551016821959e+02 
       2.152293305626e-04       8.769080901161e+02 
       2.270077976953e-04       9.230841554213e+02 
       2.360100935134e-04       9.583097632335e+02 
       2.450664822069e-04       9.936904397334e+02 
       2.597595368859e-04       1.050974969430e+03 
       2.639327329054e-04       1.067219489413e+03 
       2.836947091575e-04       1.143995076191e+03 
       2.849933204691e-04       1.149031722609e+03 
       3.044488646352e-04       1.224368258558e+03 
       3.131957844738e-04       1.258165643728e+03 
       3.263007281951e-04       1.308719743448e+03 
       3.443669289001e-04       1.378254291836e+03 
       3.493656657482e-04       1.397462013570e+03 
       3.737695835378e-04       1.491041056986e+03 
       3.770224135372e-04       1.503490429654e+03 
       3.996495183196e-04       1.589937463985e+03 
       4.141309188066e-04       1.645125951151e+03 
       4.271540421470e-04       1.694666632757e+03 
       4.556924447083e-04       1.802934171330e+03 
       4.564433894059e-04       1.805777675806e+03 
       4.876891928913e-04       1.923850636047e+03 
       5.002226510316e-04       1.971081365350e+03 
       5.210736968351e-04       2.049491508589e+03 
       5.477215377765e-04       2.149404708216e+03 
       5.567883022602e-04       2.183324575862e+03 
       5.950313000738e-04       2.325981538042e+03 
       6.026421255752e-04       2.354292556688e+03 
       6.360046676565e-04       2.478087128226e+03 
       6.605313937955e-04       2.568777055349e+03 
       6.799098535238e-04       2.640241070443e+03 
       7.258423630696e-04       2.808966612407e+03 
       7.269425582800e-04       2.812996576789e+03 
       7.772866396900e-04       2.996836105952e+03 
       7.970906931869e-04       3.068849699013e+03 
       8.311074172646e-04       3.192145692520e+03 
       8.742763841472e-04       3.347890124817e+03 
       8.885448071870e-04       3.399189753987e+03 
       9.497068497395e-04       3.618088407468e+03 
       9.603681163723e-04       3.656079458616e+03 
       1.014664260351e-03       3.848800229249e+03 
       1.053881549651e-03       3.987208122098e+03 
       1.083446608503e-03       4.091112195821e+03 
       1.156040591109e-03       4.344638850208e+03 
       1.157785364406e-03       4.350704307917e+03 
       1.232390632665e-03       4.608830895442e+03 
       1.270595220425e-03       4.740085350445e+03 
       1.312401757236e-03       4.882993043585e+03 
       1.395279798130e-03       5.164042924840e+03 
       1.395944398800e-03       5.166284579456e+03 
       1.482860606394e-03       5.457804547284e+03 
       1.528870417100e-03       5.610804384403e+03 
       1.572970997061e-03       5.756599246237e+03 
       1.666081819527e-03       6.061671570328e+03 
       1.677304438177e-03       6.098190266562e+03 
       1.761991592918e-03       6.372023109422e+03 
       1.840581861363e-03       6.623397059992e+03 
