# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380884400572e-10       4.138468754061e-15       3.531732947280e-13       0.000000000000e+00       8.143601136120e-09       4.451384294798e-10      -1.834139936368e-12 
    3       1.308206775233e-10       5.306319828760e-15       3.957190706213e-13       0.000000000000e+00       4.997466841437e-09       3.167047673585e-10      -1.389250161786e-12 
    4       1.238858323696e-10       4.595295045172e-15       3.699611661518e-13       0.000000000000e+00       3.475376504115e-09       2.403130532894e-10      -9.094050981771e-13 
    5       1.186678848806e-10       3.070413046147e-15       3.154202822523e-13       0.000000000000e+00       2.593643006706e-09       1.901434132126e-10      -5.053563592059e-13 
    6       1.150745091906e-10       1.719064375168e-15       2.545643785876e-13       0.000000000000e+00       2.025351474090e-09       1.549587740671e-10      -2.074847884414e-13 
    7       1.127153522047e-10       9.289854351989e-16       2.004279870046e-13       0.000000000000e+00       1.633179349685e-09       1.290996714441e-10      -1.721835705076e-14 
    8       1.113250804043e-10       5.982987217383e-16       1.586477635898e-13       0.000000000000e+00       1.348645239252e-09       1.094679353426e-10       8.017910508479e-14 
    9       1.106660897560e-10       4.794000512079e-16       1.304590452794e-13       0.000000000000e+00       1.134404951832e-09       9.423475684124e-11       1.077870462753e-13 
   10       1.105045541034e-10       4.080884518550e-16       1.146033620591e-13       0.000000000000e+00       9.686114990260e-10       8.216807382343e-11       9.125155249145e-14 
   11       1.107912685408e-10       3.422425406809e-16       1.085145309030e-13       0.000000000000e+00       8.170886248617e-10       7.272742977109e-11       5.455868898990e-14 
   12       1.113684939053e-10       2.971449062605e-16       1.092753550799e-13       0.000000000000e+00       7.137107468592e-10       6.438767554776e-11       1.515350852407e-14 
   13       1.121878407431e-10       2.841602785280e-16       1.143360734600e-13       0.000000000000e+00       6.288777327073e-10       5.761676227216e-11      -1.498415358612e-14 
   14       1.132123836553e-10       2.958694710771e-16       1.217223858757e-13       0.000000000000e+00       5.583229074763e-10       5.173020447881e-11      -3.158348468408e-14 
   15       1.144203806323e-10       3.208198201597e-16       1.300459932802e-13       0.000000000000e+00       4.989528918168e-10       4.676612819139e-11      -3.481084978504e-14 
   16       1.157325675648e-10       3.564325745728e-16       1.386418656356e-13       0.000000000000e+00       4.484897044066e-10       4.247573416311e-11      -2.851359987570e-14 
   17       1.171850797102e-10       4.076832310682e-16       1.473030541208e-13       0.000000000000e+00       4.052132121085e-10       3.872381935550e-11      -1.780281004301e-14 
   18       1.187135497899e-10       4.795389606399e-16       1.560875021440e-13       0.000000000000e+00       3.676617908204e-10       3.545932024762e-11      -7.516110492570e-15 
   19       1.203297778576e-10       5.722566327919e-16       1.651536542903e-13       0.000000000000e+00       3.352359686944e-10       3.263196439654e-11      -2.619488862692e-16 
   20       1.220279363034e-10       6.839128484315e-16       1.746555911986e-13       0.000000000000e+00       3.066836579101e-10       3.011569143906e-11       2.219054598680e-15 
   21       1.238065783463e-10       8.139714715326e-16       1.845995607898e-13       0.000000000000e+00       2.815546306572e-10       2.786455154620e-11       4.740101883964e-16 
   22       1.256357039274e-10       9.620824441540e-16       1.948650750794e-13       0.000000000000e+00       2.592458885579e-10       2.582660088258e-11      -3.768621377585e-15 
   23       1.275230895641e-10       1.128535168773e-15       2.051159511484e-13       0.000000000000e+00       2.394497120442e-10       2.399823340293e-11      -8.772141808341e-15 
   24       1.294665631477e-10       1.313693253520e-15       2.149118176732e-13       0.000000000000e+00       2.217075388193e-10       2.236680047935e-11      -1.268728349105e-14 
   25       1.314645239191e-10       1.517979766901e-15       2.239983252951e-13       0.000000000000e+00       2.058099429993e-10       2.090580406809e-11      -1.470983924839e-14 
   26       1.335006065193e-10       1.741970542825e-15       2.321803649338e-13       0.000000000000e+00       1.914684059542e-10       1.957158776171e-11      -1.453104596825e-14 
   27       1.355732936638e-10       1.987277583234e-15       2.393539435376e-13       0.000000000000e+00       1.785103599781e-10       1.835315360687e-11      -1.274019884810e-14 
   28       1.376765306255e-10       2.255851810140e-15       2.454663419881e-13       0.000000000000e+00       1.667119028179e-10       1.724121861649e-11      -1.029750028230e-14 
   29       1.398190568122e-10       2.549130003849e-15       2.505471648184e-13       0.000000000000e+00       1.560125220741e-10       1.623275779617e-11      -7.837515763226e-15 
   30       1.420024433259e-10       2.868412787416e-15       2.546808952486e-13       0.000000000000e+00       1.462970707268e-10       1.531669500101e-11      -6.008201505702e-15 
