# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.378412370868e-10       4.139131881471e-15       3.529781863543e-13       2.243679031849e-19       8.156759946779e-09       4.443694439382e-10      -1.834407259462e-12 
    3       1.305795545959e-10       5.305816549942e-15       3.953955452518e-13       4.488281779557e-19       5.002559254990e-09       3.159194058495e-10      -1.388940342354e-12 
    4       1.236616775056e-10       4.593817671423e-15       3.695284090219e-13       7.482503927583e-19       3.478005076383e-09       2.396207274057e-10      -9.088131991537e-13 
    5       1.184614640254e-10       3.069238086817e-15       3.150070256618e-13       1.122752639839e-18       2.595430840866e-09       1.895296558773e-10      -5.046499728398e-13 
    6       1.148840792039e-10       1.719358375304e-15       2.542839493685e-13       1.572478294338e-18       2.026690332189e-09       1.544184144102e-10      -2.067670554883e-13 
    7       1.125447551644e-10       9.311103686525e-16       2.003276189023e-13       2.097593376950e-18       1.634329560267e-09       1.286396628436e-10      -1.653856481850e-14 
    8       1.111719158111e-10       6.019510860541e-16       1.587072780830e-13       2.698283569797e-18       1.349715064824e-09       1.090812328637e-10       8.081145645242e-14 
    9       1.105232242521e-10       4.839915696801e-16       1.306125429599e-13       3.374750973255e-18       1.135392146160e-09       9.389740712002e-11       1.083815640959e-13 
   10       1.103753564667e-10       4.130922766514e-16       1.147629030491e-13       4.127210697758e-18       9.695096891644e-10       8.186327606220e-11       9.182322218244e-14 
   11       1.106701854442e-10       3.473815648633e-16       1.086068253715e-13       4.955887387521e-18       8.177528203535e-10       7.245211848988e-11       5.511045692261e-14 
   12       1.112594569788e-10       3.024327616856e-16       1.092687394900e-13       5.861011772717e-18       7.142956050154e-10       6.415858638268e-11       1.571014917146e-14 
   13       1.120927805674e-10       2.898453051706e-16       1.142236577384e-13       6.842817342963e-18       6.293983706892e-10       5.742303293210e-11      -1.443236974549e-14 
   14       1.131210175377e-10       3.023358476673e-16       1.215177629604e-13       7.901537228055e-18       5.587895447093e-10       5.154239903514e-11      -3.106752622194e-14 
