# Matter power spectrum P(k) at redshift z=0
# for k=1.04881e-05 to 1.68118 h/Mpc,
# number of wavenumbers equal to 679
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048811793917e-05       4.778618331678e+01 
       2.341356272334e-05       1.037360961212e+02 
       3.638478186535e-05       1.587488108118e+02 
       4.943691764392e-05       2.134007200763e+02 
       6.260569762984e-05       2.680228274521e+02 
       7.592775545483e-05       3.228649951569e+02 
       8.944096190555e-05       3.781420943649e+02 
       1.031847707745e-04       4.340529017558e+02 
       1.172005839333e-04       4.907898900181e+02 
       1.315321401270e-04       5.485451323605e+02 
       1.462259319940e-04       6.075143741134e+02 
       1.484340210776e-04       6.163558338076e+02 
       1.613316557515e-04       6.679003815711e+02 
       1.632774231854e-04       6.756622928668e+02 
       1.769026977970e-04       7.299156092902e+02 
       1.796051655039e-04       7.406562261142e+02 
       1.929966620892e-04       7.937848901657e+02 
       1.959329078225e-04       8.054135884537e+02 
       2.096759414802e-04       8.597477200856e+02 
       2.152293305626e-04       8.816607824597e+02 
       2.270083350436e-04       9.280608420953e+02 
       2.360100935134e-04       9.634507295107e+02 
       2.450677116980e-04       9.990005886974e+02 
       2.597595368859e-04       1.056540545256e+03 
       2.639347178394e-04       1.072865339886e+03 
       2.836975229791e-04       1.149977870041e+03 
       2.849933204691e-04       1.155024936764e+03 
       3.044525921952e-04       1.230688046745e+03 
       3.131957844738e-04       1.264606079158e+03 
       3.263054671518e-04       1.315374751926e+03 
       3.443669289001e-04       1.385149056279e+03 
       3.493715280993e-04       1.404448135850e+03 
       3.737766972630e-04       1.498351013504e+03 
       3.770224135372e-04       1.510813440658e+03 
       3.996580290968e-04       1.597559747364e+03 
       4.141309188066e-04       1.652872999504e+03 
       4.271641150837e-04       1.702584495373e+03 
       4.556924447083e-04       1.811073076679e+03 
       4.564552106972e-04       1.813967715834e+03 
       4.877029712850e-04       1.932280994967e+03 
       5.002226510316e-04       1.979538260736e+03 
       5.210896647427e-04       2.058119940653e+03 
       5.477215377765e-04       2.158080172532e+03 
       5.568067163175e-04       2.192096235353e+03 
       5.950524409191e-04       2.334826262152e+03 
       6.026421255752e-04       2.363061116058e+03 
       6.360288386808e-04       2.486916804838e+03 
       6.605313937955e-04       2.577455136037e+03 
       6.799373783575e-04       2.648946691063e+03 
       7.258423630696e-04       2.817309141249e+03 
       7.269737768342e-04       2.821445501098e+03 
       7.773219026747e-04       3.004869404193e+03 
       7.970906931869e-04       3.076546610947e+03 
       8.311470792628e-04       3.199576561788e+03 
       8.742763841472e-04       3.354567797735e+03 
       8.885892185615e-04       3.405802482220e+03 
       9.497563478557e-04       3.623639093881e+03 
       9.603681163723e-04       3.661247267404e+03 
       1.014719160773e-03       3.853018823069e+03 
       1.053881549651e-03       3.990323187151e+03 
       1.083507196915e-03       4.093706611641e+03 
       1.156107116674e-03       4.345300578933e+03 
       1.157785364406e-03       4.351087346705e+03 
       1.232463303411e-03       4.607242908344e+03 
       1.270595220425e-03       4.737039668056e+03 
       1.312480737772e-03       4.878838414651e+03 
       1.395279798130e-03       5.156753170283e+03 
       1.396029810391e-03       5.159256123456e+03 
       1.482952529145e-03       5.447614686037e+03 
       1.528870417100e-03       5.598571321757e+03 
       1.573069473743e-03       5.742988683773e+03 
       1.666186860505e-03       6.044418301522e+03 
       1.677304438177e-03       6.080152534733e+03 
       1.762103181601e-03       6.350945355439e+03 
       1.840581861363e-03       6.598793295743e+03 
       1.860615037371e-03       6.661639079929e+03 
       1.961521947184e-03       6.975610783684e+03 
       2.033546088764e-03       7.197099492315e+03 
       2.064630072620e-03       7.292022474812e+03 
       2.169754899116e-03       7.610094095378e+03 
       2.226510316164e-03       7.779936794426e+03 
