# Matter power spectrum P(k) at redshift z=0
# for k=1.04881e-05 to 1.68118 h/Mpc,
# number of wavenumbers equal to 679
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048811793917e-05       4.776687212313e+01 
       2.341356272334e-05       1.036942858809e+02 
       3.638478186535e-05       1.586851280457e+02 
       4.943691764392e-05       2.133157007213e+02 
       6.260569762984e-05       2.679170111297e+02 
       7.592775545483e-05       3.227389856094e+02 
       8.944096190555e-05       3.779965731054e+02 
       1.031847707745e-04       4.338886680773e+02 
       1.172005839333e-04       4.906078812303e+02 
       1.315321401270e-04       5.483464541856e+02 
       1.462259319940e-04       6.073003560445e+02 
       1.484340210776e-04       6.161396802383e+02 
       1.613316557515e-04       6.676726133097e+02 
       1.632774231854e-04       6.754329161371e+02 
       1.769026977970e-04       7.296759850497e+02 
       1.796051655039e-04       7.404147999471e+02 
       1.929966620892e-04       7.935356936326e+02 
       1.959329078225e-04       8.051629598775e+02 
       2.096759414802e-04       8.594917115493e+02 
       2.152293305626e-04       8.814032397366e+02 
       2.270083350436e-04       9.278013237601e+02 
       2.360100935134e-04       9.631909210447e+02 
       2.450677116980e-04       9.987415897369e+02 
       2.597595368859e-04       1.056285292471e+03 
       2.639347178394e-04       1.072611701874e+03 
       2.836975229791e-04       1.149735495749e+03 
       2.849933204691e-04       1.154783497436e+03 
       3.044525921952e-04       1.230464084509e+03 
       3.131957844738e-04       1.264391964127e+03 
       3.263054671518e-04       1.315177868976e+03 
       3.443669289001e-04       1.384980850145e+03 
       3.493715280993e-04       1.404288900503e+03 
       3.737766972630e-04       1.498242282287e+03 
       3.770224135372e-04       1.510712273925e+03 
       3.996580290968e-04       1.597517125200e+03 
       4.141309188066e-04       1.652873248338e+03 
       4.271641150837e-04       1.702627044558e+03 
       4.556924447083e-04       1.811220860833e+03 
       4.564552106972e-04       1.814118559041e+03 
       4.877029712850e-04       1.932568263184e+03 
       5.002226510316e-04       1.979886411609e+03 
       5.210896647427e-04       2.058577704437e+03 
       5.477215377765e-04       2.158692830275e+03 
       5.568067163175e-04       2.192765664270e+03 
       5.950524409191e-04       2.335756940970e+03 
       6.026421255752e-04       2.364047996532e+03 
       6.360288386808e-04       2.488168133040e+03 
       6.605313937955e-04       2.578918670278e+03 
       6.799373783575e-04       2.650589296535e+03 
       7.258423630696e-04       2.819414242626e+03 
       7.269737768342e-04       2.823562693120e+03 
       7.773219026747e-04       3.007558453343e+03 
       7.970906931869e-04       3.079478215930e+03 
       8.311470792628e-04       3.202949700563e+03 
       8.742763841472e-04       3.358542554711e+03 
       8.885892185615e-04       3.409987243645e+03 
       9.497563478557e-04       3.628778139194e+03 
       9.603681163723e-04       3.666561023447e+03 
       1.014719160773e-03       3.859268527705e+03 
       1.053881549651e-03       3.997288339498e+03 
       1.083507196915e-03       4.101234781531e+03 
       1.156107116674e-03       4.354282770171e+03 
       1.157785364406e-03       4.360104326012e+03 
       1.232463303411e-03       4.617857702795e+03 
       1.270595220425e-03       4.748504933903e+03 
       1.312480737772e-03       4.891261769318e+03 
       1.395279798130e-03       5.171133933144e+03 
       1.396029810391e-03       5.173654950081e+03 
       1.482952529145e-03       5.464140790021e+03 
       1.528870417100e-03       5.616242837404e+03 
       1.573069473743e-03       5.761772822167e+03 
       1.666186860505e-03       6.065565408097e+03 
       1.677304438177e-03       6.101582585427e+03 
       1.762103181601e-03       6.374531620839e+03 
       1.840581861363e-03       6.624362048754e+03 
       1.860615037371e-03       6.687710455336e+03 
       1.961521947184e-03       7.004183835570e+03 
       2.033546088764e-03       7.227420813577e+03 
       2.064630072620e-03       7.323087197639e+03 
       2.169754899116e-03       7.643618562753e+03 
       2.226510316164e-03       7.814752549559e+03 
       2.276722994152e-03       7.965046287830e+03 
       2.385372995792e-03       8.286706466768e+03 
       2.449161347781e-03       8.473311730723e+03 
       2.495555993647e-03       8.608001490497e+03 
       2.607135454426e-03       8.928397329453e+03 
       2.686655781505e-03       9.153719688908e+03 
       2.719986824505e-03       9.247423559287e+03 
       2.833996918315e-03       9.564661495622e+03 
       2.938993617337e-03       9.852376126520e+03 
       2.949063177877e-03       9.879747625992e+03 
       3.065092867665e-03       1.019235838163e+04 
       3.182002251182e-03       1.050221760302e+04 
       3.235861659492e-03       1.064325578542e+04 
       3.299715781306e-03       1.080908067773e+04 
       3.418165325429e-03       1.111274189022e+04 
       3.537289438137e-03       1.141301505486e+04 
       3.547573103755e-03       1.143869994971e+04 
       3.657032688207e-03       1.170975379777e+04 
       3.777345042488e-03       1.200282227057e+04 
       3.888971352234e-03       1.227023976056e+04 
       3.898181306403e-03       1.229211251946e+04 
