# Matter power spectrum P(k) at redshift z=0
# for k=1.04976e-05 to 1.70207 h/Mpc,
# number of wavenumbers equal to 680
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049756172522e-05       4.750888660559e+01 
       2.342270691348e-05       1.030836798290e+02 
       3.639364932032e-05       1.577287267342e+02 
       4.944552891806e-05       2.120165292094e+02 
       6.261407113680e-05       2.662760883433e+02 
       7.593590759922e-05       3.207559016071e+02 
       8.944890718216e-05       3.756697571316e+02 
       1.031925218359e-04       4.312155309151e+02 
       1.172081516255e-04       4.875848681073e+02 
       1.315395334935e-04       5.449690760481e+02 
       1.462331582453e-04       6.035632542464e+02 
       1.484340210776e-04       6.123201538133e+02 
       1.613387201990e-04       6.635695280856e+02 
       1.632774231854e-04       6.712550512041e+02 
       1.769096037477e-04       7.251998360435e+02 
       1.796051655039e-04       7.358471597974e+02 
       1.930034106968e-04       7.886784878390e+02 
       1.959329078225e-04       8.002103040477e+02 
       2.096825315486e-04       8.542446343200e+02 
       2.152293305626e-04       8.760018816215e+02 
       2.270147627755e-04       9.221547183675e+02 
       2.360100935134e-04       9.573142872491e+02 
       2.450739703829e-04       9.926849355712e+02 
       2.597595368859e-04       1.049876172893e+03 
       2.639407974720e-04       1.066133727628e+03 
       2.837034098011e-04       1.142824281021e+03 
       2.849933204691e-04       1.147821434984e+03 
       3.044582681504e-04       1.223106989735e+03 
       3.131957844738e-04       1.256828406099e+03 
       3.263109092468e-04       1.307361790992e+03 
       3.443669289001e-04       1.376773550786e+03 
       3.493767076627e-04       1.396000289010e+03 
       3.737815790985e-04       1.489467445395e+03 
       3.770224135372e-04       1.501855393704e+03 
       3.996625705310e-04       1.588242672966e+03 
       4.141309188066e-04       1.643310196722e+03 
       4.271682649166e-04       1.692839995183e+03 
       4.556924447083e-04       1.800908614601e+03 
       4.564589080741e-04       1.803806931210e+03 
       4.877061445236e-04       1.921721679095e+03 
       5.002226510316e-04       1.968821632054e+03 
       5.210922301688e-04       2.047188089534e+03 
       5.477215377765e-04       2.146883698843e+03 
       5.568085771846e-04       2.180827974827e+03 
       5.950534865134e-04       2.323270181784e+03 
       6.026421255752e-04       2.351453669470e+03 
       6.360289437363e-04       2.475136211587e+03 
       6.605313937955e-04       2.565583730167e+03 
       6.799364029229e-04       2.637022112772e+03 
       7.258423630696e-04       2.805348364121e+03 
       7.269715667374e-04       2.809476993244e+03 
       7.773182907133e-04       2.992978795423e+03 
       7.970906931869e-04       3.064736441426e+03 
       8.311418872030e-04       3.187908689955e+03 
       8.742763841472e-04       3.343202579101e+03 
       8.885822599545e-04       3.394525902670e+03 
       9.497474315814e-04       3.612945264527e+03 
       9.603681163723e-04       3.650704049073e+03 
       1.014708095117e-03       3.843120008111e+03 
       1.053881549651e-03       3.981029035544e+03 
       1.083493793884e-03       4.084831988369e+03 
       1.156091196219e-03       4.337690970808e+03 
       1.157785364406e-03       4.343564260831e+03 
       1.232444697195e-03       4.601143459366e+03 
       1.270595220425e-03       4.731823325599e+03 
       1.312459292199e-03       4.874490640025e+03 
       1.395279798130e-03       5.154449695619e+03 
       1.396005388712e-03       5.156889032805e+03 
       1.482925012565e-03       5.447435690542e+03 
       1.528870417100e-03       5.599684098939e+03 
       1.573038761587e-03       5.745175458511e+03 
       1.666152869582e-03       6.049110370421e+03 
       1.677304438177e-03       6.085257430164e+03 
       1.762065844970e-03       6.358241463184e+03 
       1.840581861363e-03       6.608336116300e+03 
       1.860574302701e-03       6.671592265485e+03 
       1.961477774920e-03       6.988226793803e+03 
       2.033546088764e-03       7.211705029412e+03 
       2.064582434098e-03       7.307263369814e+03 
       2.169703774753e-03       7.627883597094e+03 
       2.226510316164e-03       7.799199192333e+03 
       2.276668371778e-03       7.949336855552e+03 
       2.385314869177e-03       8.270942681453e+03 
       2.449161347781e-03       8.457649317963e+03 
       2.495494361224e-03       8.592089040602e+03 
       2.607070318217e-03       8.912230234129e+03 
       2.686655781505e-03       9.137492476239e+03 
       2.719918189236e-03       9.230883390080e+03 
       2.833924790693e-03       9.547622922775e+03 
       2.938993617337e-03       9.834970926586e+03 
       2.948987566009e-03       9.862076702714e+03 
       3.065013780603e-03       1.017392052510e+04 
       3.181919698562e-03       1.048287437111e+04 
       3.235861659492e-03       1.062367026272e+04 
       3.299629773075e-03       1.078869450279e+04 
       3.418075871633e-03       1.109117313616e+04 
       3.537196548763e-03       1.139013374447e+04 
       3.547573103755e-03       1.141592965849e+04 
       3.656936373068e-03       1.168542478617e+04 
       3.777245311142e-03       1.197691881503e+04 
       3.888971352234e-03       1.224301566966e+04 
       3.898078168093e-03       1.226451150366e+04 
       4.019394082570e-03       1.254811339432e+04 
       4.141156073070e-03       1.282765597857e+04 
       4.263330631722e-03       1.310308036200e+04 
       4.274899807036e-03       1.312890119729e+04 
       4.385887361473e-03       1.337434533248e+04 
       4.508798652625e-03       1.364141569279e+04 
       4.632039394771e-03       1.390426951972e+04 
       4.690515066053e-03       1.402728300815e+04 
       4.755586720450e-03       1.416289270580e+04 
       4.879419777079e-03       1.441727743533e+04 
       5.003519524052e-03       1.466742729112e+04 
       5.127868552171e-03       1.491334169977e+04 
       5.150660531394e-03       1.495789995087e+04 
       5.252450922874e-03       1.515503449889e+04 
       5.377252024996e-03       1.539251657650e+04 
       5.502258447045e-03       1.562580857667e+04 
       5.627457863222e-03       1.585493611925e+04 
       5.655336203058e-03       1.590534488779e+04 
       5.752838931584e-03       1.607991758031e+04 
       5.878391202980e-03       1.630078231481e+04 
       6.004105039509e-03       1.651756248277e+04 
       6.129971541443e-03       1.673028627237e+04 
       6.204542081045e-03       1.685430200085e+04 
       6.255982481632e-03       1.693898841428e+04 
       6.382130246570e-03       1.714370373395e+04 
       6.508407783379e-03       1.734446655915e+04 
       6.634808552051e-03       1.754131237195e+04 
       6.761326482377e-03       1.773428701075e+04 
       6.813121567463e-03       1.781213026660e+04 
       6.887955935055e-03       1.792341942560e+04 
       7.014691666525e-03       1.810875171755e+04 
       7.141528797142e-03       1.829032657026e+04 
       7.268462782324e-03       1.846817135999e+04 
       7.395489386381e-03       1.864233514263e+04 
       7.481074662313e-03       1.875756045963e+04 
       7.522604658728e-03       1.881286174401e+04 
       7.649804912257e-03       1.897978137064e+04 
       7.777086703646e-03       1.914314042671e+04 
       7.904446815396e-03       1.930297419550e+04 
       8.031882239455e-03       1.945932426363e+04 
       8.159390162243e-03       1.961222144410e+04 
       8.223244767701e-03       1.968748126049e+04 
       8.286967950963e-03       1.976171957611e+04 
       8.414613141068e-03       1.990785819732e+04 
       8.542323424776e-03       2.005066455921e+04 
       8.670096640531e-03       2.019018388731e+04 
       8.797930763332e-03       2.032644886567e+04 
       8.925823895839e-03       2.045950658795e+04 
       9.024788481520e-03       2.056023896967e+04 
       9.053774260196e-03       2.058938469536e+04 
       9.181780190501e-03       2.071613071446e+04 
       9.309840125865e-03       2.083978109936e+04 
       9.437952604017e-03       2.096036025828e+04 
       9.566116255394e-03       2.107791561951e+04 
       9.694329797690e-03       2.119248413691e+04 
       9.822592030810e-03       2.130409580316e+04 
       9.900549205878e-03       2.137047984887e+04 
       9.950901832210e-03       2.141278370667e+04 
       1.007925815258e-02       2.151858688747e+04 
       1.020766001184e-02       2.162154058826e+04 
       1.033610649545e-02       2.172168129902e+04 
       1.046459675096e-02       2.181903764169e+04 
       1.059312998483e-02       2.191364427405e+04 
       1.072170545948e-02       2.200553785749e+04 
       1.085032249051e-02       2.209474482691e+04 
       1.088021374499e-02       2.211509412634e+04 
       1.097898044420e-02       2.218130379098e+04 
       1.110767873512e-02       2.226524878357e+04 
       1.123641682388e-02       2.234660555598e+04 
       1.136519421517e-02       2.242540081229e+04 
       1.149401045578e-02       2.250167611189e+04 
       1.162286513286e-02       2.257545808642e+04 
       1.175175787226e-02       2.264677269658e+04 
       1.188068833702e-02       2.271565415194e+04 
       1.193409529464e-02       2.274347997752e+04 
       1.200965622592e-02       2.278213779851e+04 
       1.213866127216e-02       2.284624276023e+04 
       1.226770324214e-02       2.290799796839e+04 
       1.239678193428e-02       2.296744561464e+04 
       1.252589717801e-02       2.302460113709e+04 
       1.265504883273e-02       2.307949659301e+04 
       1.278423678692e-02       2.313216343616e+04 
       1.291346095730e-02       2.318262967883e+04 
       1.304272128800e-02       2.323091807513e+04 
       1.310672406115e-02       2.325402678064e+04 
       1.317201774988e-02       2.327705951741e+04 
       1.330135033981e-02       2.332107947232e+04 
       1.343071908010e-02       2.336299937215e+04 
       1.356012401788e-02       2.340285322929e+04 
       1.368956522461e-02       2.344065614136e+04 
       1.381904279558e-02       2.347644677326e+04 
       1.394855684947e-02       2.351024589499e+04 
       1.407810752795e-02       2.354207580136e+04 
       1.420769499533e-02       2.357196257207e+04 
       1.433731943822e-02       2.359993336543e+04 
       1.438325664242e-02       2.360939069135e+04 
       1.446698106522e-02       2.362601784377e+04 
       1.459668010671e-02       2.365022798923e+04 
       1.472641681455e-02       2.367259363898e+04 
       1.485619146193e-02       2.369314443558e+04 
       1.498600434316e-02       2.371189839341e+04 
       1.511585577357e-02       2.372887755851e+04 
       1.524574608934e-02       2.374411603861e+04 
       1.537567564741e-02       2.375761626820e+04 
       1.550564482544e-02       2.376942176598e+04 
       1.563565402174e-02       2.377954410901e+04 
       1.573400623423e-02       2.378610230817e+04 
       1.576570365523e-02       2.378800941192e+04 
       1.589579416546e-02       2.379483720346e+04 
       1.602592601260e-02       2.380006241269e+04 
       1.615609967750e-02       2.380369830896e+04 
       1.628631566173e-02       2.380575143158e+04 
       1.641657448766e-02       2.380626187232e+04 
       1.654687669854e-02       2.380525236656e+04 
       1.667722285864e-02       2.380274474745e+04 
       1.680761355336e-02       2.379873540797e+04 
       1.693804938938e-02       2.379327439197e+04 
       1.706853099484e-02       2.378636414787e+04 
       1.719905901951e-02       2.377805981607e+04 
       1.732963413499e-02       2.376832912953e+04 
       1.736678046608e-02       2.376530843967e+04 
       1.746025703493e-02       2.375722152346e+04 
       1.759092843526e-02       2.374475640980e+04 
       1.772164907446e-02       2.373094822546e+04 
       1.785241971381e-02       2.371583464061e+04 
       1.798324113768e-02       2.369939382512e+04 
       1.811411415383e-02       2.368171253269e+04 
       1.824503959372e-02       2.366274099616e+04 
       1.837601831286e-02       2.364253106066e+04 
       1.850705119115e-02       2.362109000078e+04 
       1.863813913326e-02       2.359845961252e+04 
       1.876928306900e-02       2.357462983639e+04 
       1.890048395372e-02       2.354963943709e+04 
       1.899955469794e-02       2.353001972037e+04 
       1.903174276875e-02       2.352350070200e+04 
       1.916306052182e-02       2.349623228757e+04 
       1.929443824752e-02       2.346785029490e+04 
       1.942587700776e-02       2.343836709286e+04 
       1.955737789229e-02       2.340781875043e+04 
       1.968894201917e-02       2.337619420011e+04 
       1.982057053533e-02       2.334352781715e+04 
       1.995226461709e-02       2.330986694043e+04 
